Date,AED,ARS,AUD,BRL,CAD,CHF,CLP,CNY,COP,CZK,DKK,DOP,EUR,GBP,HKD,HRK,HUF,INR,IDR,IRR,JPY,KES,MAD,MXN,MYR,NGN,NOK,NZD,PEN,PHP,PKR,PLN,RON,RUB,SAR,SEK,SGD,THB,TRY,TZS,UAH,USD,VEF,VND,ZAR
5/16/2015,229.95,298.76,569.44,482.11,410.06,1000,905.73,,,544.42,342.02,,579.05,509.51,120.84,287.52,559.47,455.55,285.17,757.84,54.19,,,598.94,483.85,,480.69,767.72,650.58,300.26,,747.92,191.62,,,480.76,1000,447.05,,,,477.38,,,571.7
5/23/2015,294.17,138.52,536.1,445.64,801.83,541.64,859.28,,,536.94,126.86,,513.27,506.86,326.78,387.14,648.82,638.87,735.05,483.61,1000,1000,,441.09,649.99,,651.54,672.25,796.51,583.13,,267.75,346.76,,,594.96,498.69,505.21,,,,480.56,,,507.43
5/30/2015,965.66,569.88,655.16,503.42,461.23,393.47,845.44,,,541.28,929.8,,602.56,564.39,549.48,764.47,331.45,504.16,1000,247.53,143.07,923.07,,450.62,440.67,,431.52,829.49,393.07,806.21,,679.04,423.51,,,481.96,500.77,731.17,,,,587.23,,,621.8
6/6/2015,380.19,784.58,509.78,371.59,510.36,271.13,446.58,,,1000,808.85,,454.03,527.63,30.71,766.84,741.91,514.3,1000,50.35,105.16,518.79,,379.98,758.97,,551.43,924.34,755.19,1000,,759.21,525.86,,,530.89,273.36,593.56,,,1000,550.97,,,494.87
6/13/2015,168.5,362.96,543.42,505.53,465.69,325.25,545.28,,,217.88,227.69,,567.64,541.16,983.12,335.33,502.63,663.42,1000,746.44,783.15,213.88,,520.53,601.81,,488.19,717.47,385.26,702.18,,312.18,746.87,,,488.29,446.6,776.1,,,451.96,541.09,,,519.02
6/20/2015,243.3,328.03,475.96,412.9,508.46,370.36,629.03,,,445.51,235.74,,613.72,519.86,693.56,570.75,621.54,704.16,1000,1000,81.32,471.88,,405.49,511.74,,475.91,672.19,430.87,1000,,539.33,486.17,,,621.12,455.68,732.35,,,252.75,518.41,,,652.26
6/27/2015,204.21,792.63,534.45,575.59,474.44,440.04,885.38,,,311.43,1000,,692.37,544.82,171.72,940.38,354.54,596.93,46.24,1000,219.46,526.1,,708.91,725.7,,552.92,762.43,574.55,1000,,773.05,1000,,,626.41,533.81,247.52,,,244.81,514.81,,,550.64
7/4/2015,1000,1000,552.61,1000,442.52,594.88,1000,,,312.78,485.54,,509.86,533.32,577.19,692.83,678.22,496.31,38.61,252.64,711.11,237.2,,682.62,685.62,,637.93,454.54,323.76,334.42,,427,577.67,,,441.6,893.32,505.14,,,492.97,518.13,,,464.37
7/11/2015,1000,419.58,514.5,516.79,418.28,235.72,495.82,,,501.11,464.86,,559.43,476.31,856.67,797.26,474.5,417.47,453.09,64.82,1000,872.35,,703.15,484.4,,520.84,516.85,706.56,590.85,,502.1,317.51,,,504.36,720.92,489.81,,,534.83,507.86,,,603.89
7/18/2015,1000,415.08,507.47,434.89,424.86,670.4,404.8,,,316.81,286.45,,381.87,508.08,588.52,566.81,139.72,466.27,879.78,513.05,1000,739.21,,565.32,585.89,,690.09,360.19,460.97,92.16,,677.99,509.55,589.35,,586.78,1000,800.44,,,492.77,482.73,,,631.3
7/25/2015,1000,796.28,537.45,549.01,399.16,334.17,180.59,,,415.61,1000,,461.27,530.06,593.37,205.21,336,367.99,1000,935.33,978.8,388.63,,525.12,493.65,,774.23,424.58,783.7,200.63,,182.17,381.61,520.75,,526.17,434.72,561.28,,,821.68,494.86,,1000,595.81
8/1/2015,791.31,575.99,566.32,628.4,424.49,513.39,780.46,,,648.99,1000,,564.01,539.04,488.33,452.25,568.83,479.22,22.94,817.97,288.54,395.61,,513.09,605.42,,602.74,341.93,898.2,138.97,,179.35,405.91,573.71,,423.99,304.93,287.96,,,796.4,538.11,,568.46,651.9
8/8/2015,399.85,490.63,462.05,263.52,645.75,704.46,424.43,,,847.03,318.33,,470.84,506.23,940.69,747.45,557.97,599.44,791.79,1.24,70.41,349.17,,507.76,369.26,,576.99,495.25,1000,317.94,,364.45,307.25,607.23,,466.75,416.75,412.96,,,454.18,505.45,,33.31,492.63
8/15/2015,725,326.98,456.12,279.01,737.39,821.37,533.71,,,201.41,208.07,,401.9,601.46,647.07,388,492.22,562.18,637.59,32.56,80.64,655.15,,531.8,446.42,,467.74,637.98,715.84,581.29,,659.1,511.18,560.71,,468.63,420.43,226.88,,,279.74,495.81,,159.67,726.74
8/22/2015,555.15,441.25,487.1,529.59,428.71,629.71,424.05,,,606.1,197.51,,529.56,535.28,196.26,436.91,694.72,491.88,532.36,1000,1000,689.35,,576.05,601.22,,452.77,403.93,291.86,462.14,,344.39,423,580.96,,542.59,421.1,576.13,,,231.56,482.12,,43.92,560.4
8/29/2015,177.08,606.93,484.52,571.74,378.89,378.51,444.27,,,694.46,443.44,,539.78,411.12,541.54,447.94,657.08,728.62,1000,408.2,39.46,417.58,,441.64,540.36,,480.31,362.28,237.44,822.66,,552.08,334.26,557.38,,506.16,519.84,383.63,,,515.71,528.38,,243.78,568.3
9/5/2015,181.51,388.01,525.61,677.08,494.31,350.89,329.26,,,527.41,224.41,,446.03,523.46,516.38,772.06,433.91,525.97,740.55,48.45,125.28,786.15,,529.39,602.86,,364.15,537.09,515.77,509.68,,435.73,671.02,598.81,,541.09,489.17,549.78,,,554.45,515.26,,1000,547.61
9/12/2015,291.84,692.45,512.13,639.67,493.19,758.48,500.62,,,707.12,152.29,,505.01,501.06,683.83,522.63,161.15,312.54,552.24,919.38,169.17,714.03,,532.17,435.04,,424.42,416.24,277.25,1000,,440.95,786.42,593.42,,461.67,858.22,425.57,,,830.29,555.38,,243.92,584.79
9/19/2015,278.68,604.04,551.28,545.09,582.76,507.18,373.68,,,817.92,1000,,441.03,473.06,1000,466.51,492.28,398.81,304.25,1000,652.72,777.42,,646.79,404.72,,411.06,527.41,239.39,528.62,,336.44,359.17,607,1000,568.31,938.04,491.13,,,490.71,560.31,,175.82,540.04
9/26/2015,106.87,485.85,546.9,600.68,600.8,492.06,247.24,,,368.65,1000,,619.98,526.56,205.51,457.58,510.2,536.86,293.89,833.24,106.59,850.6,,700.32,965.69,,499.98,689.29,792.92,438.39,,488.31,796.38,542.82,1000,597.98,330.08,552.15,,,374.39,530.14,,1000,544.31
10/3/2015,54.66,349.77,484.41,670.78,622.96,675.06,902.08,,,477.36,695.45,,480.21,498.87,783.41,368.12,643.51,584.38,187.1,644.61,181.38,461.92,,490.6,511.11,,485.61,489.31,678.16,196.78,,577.67,414.02,566.77,74.25,506.53,133.69,431.14,,,748.45,588.04,,44.3,550.06
10/10/2015,211.64,555.82,616.99,374.73,455.29,469.1,1000,,,285.44,173.79,,458.1,562.24,133.37,517.74,306.15,605.14,77.28,639.5,609.88,439.64,,433.22,447.91,,479.3,590.82,1000,386.68,,427.54,754.44,571.49,678.01,521.99,1000,746.81,,,1000,542.46,,38.49,428.97
10/17/2015,520.97,616.15,571.64,545.43,601.91,940.13,1000,,,326.03,267.4,,620.04,572.76,530.82,526.76,711.5,590.3,299.85,545.41,1000,405.45,,352.52,640.28,,507.14,400.87,1000,302.49,,975.69,960.43,630.05,125.24,528.2,296.83,644.97,,,313.55,547.38,,140.96,571.07
10/24/2015,1000,791.46,583.25,1000,759.53,748.04,182.11,,,760.11,938.55,,511.03,638.97,254.96,545.98,882.89,1000,637.64,288.48,445.02,468.08,,446.89,717.45,,640.21,437,1000,558.08,809.66,524.01,542.2,615.84,888,653.74,831.68,820.49,,,626.48,558.89,,1000,715.55
10/31/2015,1000,796.46,673.92,859.76,722.21,609.88,766.07,,,1000,974.79,,712.13,727.12,643.34,1000,530.19,1000,533.11,24.22,1000,352.15,,513.39,660.65,,1000,545.53,551.11,714.93,1000,367.58,644.82,593.89,227.59,739.48,1000,1000,,,491.25,608.62,,1000,607.28
11/7/2015,1000,434.82,548.93,562.35,396.35,534.87,339.16,,,628.23,260.15,,566.18,517.94,747.58,786.25,375.51,512.69,187.31,605.6,56.46,1000,,430.02,468.74,,400.36,520.46,265.58,441.9,470.58,487.32,439.61,576.28,548.49,414.72,494.97,460.02,,,472.64,454.74,,526.6,524.86
11/14/2015,1000,581.45,496.69,737.74,535.6,387.83,104.15,,,531.73,765.55,,375.03,494.34,910.34,367.91,414.86,782.33,167.12,1000,1000,838.69,,432.77,452.72,,442.61,963.62,301.6,787.93,634.13,363.82,564.76,554.67,367.52,415.83,260.48,564.24,,,435.66,459.79,,1000,559.54
11/21/2015,1000,234.68,524.03,447.61,492.65,401.3,244.04,,,604,570.14,,546.26,457.66,1000,586.98,700.87,1000,124.61,639.34,54.09,425.09,,477.3,389.84,,437.32,927.57,333.77,259.05,460.79,640.09,282.37,513.96,71.27,564.82,447.82,394.36,,,631.84,406.98,,522.56,551.65
11/28/2015,451.99,638.84,444.41,560.98,418.35,549.99,227.8,,,720.65,594.71,,560.52,495.01,14.04,878.72,799.46,805.33,63.5,889.14,404.58,437.97,,662.39,506.69,,697.66,706.18,430.97,365.39,671.47,357.45,477.44,591.15,26.86,452.96,340.27,331.14,1000,,583.85,482.71,,1000,638.12
12/5/2015,154.42,283.36,510.75,737.97,496.34,656.89,384.37,,,654.95,439.7,,515.61,468,225.33,672.29,425.37,716.3,604.35,14.57,76.47,501.48,,538.59,492.52,,610.65,945.17,324.64,464.13,715.88,1000,490.41,719.6,790.65,563.76,561.17,509.41,337.26,,506.38,492.5,,486.73,516.81
12/12/2015,179.69,797.58,601.01,427.45,492.15,891.72,498.65,,1000,390.51,354.35,,534.13,498.23,24.45,553.64,815.15,546.98,1000,740.91,50.25,335.11,,644.05,594.83,,743.9,479.75,1000,719.94,426.94,839.79,949.83,724.02,49.06,511.86,451.34,680.64,837.5,,417.24,512.34,,667.65,589.28
12/19/2015,212.63,570.46,475.81,502.52,402.89,360.34,484.61,,297.7,134.87,578.9,,433.32,338.35,831.92,478.17,71.82,241.63,166.95,298.45,151.76,345.97,,462.54,592.25,,391.33,438.9,285.59,212.85,326.48,288.26,675.72,667.84,190.25,506.62,1000,279.12,316.85,,940.48,382.08,,501.38,446.83
12/26/2015,193.87,205.84,236.92,234.44,301.52,350.63,547.77,,132.29,282.52,460.39,,418.16,308.56,98.33,285.61,253.09,265.1,373.22,203.36,193.19,506.28,,360.47,359.85,,688.52,521.78,601.64,147.46,290.03,197.73,177.36,532.24,1000,369.57,1000,272.03,143.78,,430.07,383.03,,157.4,474.96
1/9/2016,255.98,437.89,353.66,600.91,531.98,508.47,364.8,,580.26,151.77,360.23,,453.54,548.17,58.3,190.78,502.37,317.67,721.56,17.76,575.72,734.13,,636.02,577.46,,648.49,915.12,428.2,707.02,529.35,544.46,371.29,391.92,376.98,433.62,452.35,585.54,412.76,,606,554.71,,101.32,644.2
1/16/2016,1000,326.35,456.93,471.98,584.83,503.13,330.58,,675.88,512.6,779.33,,573.19,576.77,158.83,575.9,784.65,272.84,421.35,223.04,1000,491.25,,659.75,628.14,,548,548.68,651.38,360.24,360.65,558.29,388.48,460.04,33.48,557.24,416.91,369.59,202.34,,573.05,543.1,,175.75,562.9
1/23/2016,174,907.58,428.54,622.98,547.85,680.42,431.04,,654.6,612.87,863.49,,469.33,513,223.97,438.21,411.1,316.61,461.08,1000,1000,596.07,,678.49,353.14,,374.17,330.94,810.95,633.76,373.77,506.92,579.39,437.08,362.78,518.13,263.71,451.61,640.15,,515.36,499.81,,202.75,610.63
1/30/2016,408.44,519.36,433.79,389.78,599.14,942.2,416.86,,504.15,744.53,437.25,,599.64,627.81,168.52,310.15,325.9,359.53,496.38,533.6,1000,529.66,,806.37,409.16,,322.92,288.4,247.77,327.41,1000,954.66,463.8,488.54,469.27,791.01,107.96,940.87,892.02,,884.09,540.74,,65.81,638.04
2/6/2016,281.75,809.45,554.14,598.14,463.59,285.75,608.45,,575.15,632.6,858.54,1000,477.97,574.74,645.42,774.16,802.94,499.16,251.45,648.56,925.86,882.31,,441.56,524.89,,407.71,409.66,220.54,351.12,541.62,532.56,547.29,530.45,969.47,575.1,302.1,500.24,1000,,413.25,575.99,,115.34,617.29
2/13/2016,743.15,372.27,590.03,560.77,530.28,316.48,535.77,,838.72,954.97,516.08,1000,581.64,565.45,584.93,1000,355.44,568.17,1000,593.5,1000,750.55,,408.57,503.86,,303.03,225.28,168.32,437.68,521.85,410.74,391.42,607.76,123.91,557.4,162.33,288.39,913.73,,790.9,578.2,,108.15,593.94
2/20/2016,964.63,473.38,491.38,445.45,528.79,183.61,390.59,1000,610.05,478.59,355.23,932.89,433.33,493.23,366.7,608.35,718.85,462.95,1000,517.9,1000,584.92,1000,490.34,603.08,,606.97,551.29,400.78,348.39,663.13,650.75,538.92,640.7,458.07,483.91,275.48,465.47,1000,,635.6,583.47,,1000,543.66
2/27/2016,1000,515.84,508.81,520.02,442.13,417.28,410.22,865.46,305.89,655.3,225.03,604.91,478.37,549.29,888.47,422.07,633.4,590.39,287.44,584.07,21.17,554.76,1000,455.46,726.03,,550,627.47,243.49,410.36,426.3,463.75,527.6,546.51,933.55,557.19,364.73,340.95,1000,,646.02,597.93,,519.63,639.46
3/5/2016,503.34,727.09,574.4,486.38,555.6,535.2,789.2,334.48,957.51,1000,834.61,411.81,527.37,579.08,528.32,519.21,820.02,592.39,150.61,1000,8.56,688.63,39.11,396.86,784.68,,598.97,499.84,297.12,660.02,710.71,524.94,563.85,617.14,613.8,601.4,502.93,767.77,192.74,,829.88,533.38,,1000,767.52
3/12/2016,467.64,349.95,555.63,474.03,535.32,355.86,467.97,292.17,426.17,655.36,290.07,280.1,564.84,513.36,146.64,551.06,851.92,675.27,446,983.87,9.51,662.48,57.11,410.86,418,,863.88,598.73,380.5,1000,553.06,625.54,658.59,560.55,313.47,452.9,520.11,376.58,225.84,,434.39,547.82,,210.09,698.61
3/19/2016,478.93,292.11,495.9,514.73,554.42,347.78,418.11,233.64,432.2,733.3,354.81,201.84,580.92,461.29,280.6,680.99,137.56,472.6,177.16,187.53,10.49,773.99,74.84,695.38,484.71,,880.35,328.62,219.53,521.44,294.32,588.42,534.64,572.26,110.36,448.46,258.56,261,633.49,,316.09,550.53,,1000,552.43
3/26/2016,272.8,408.99,415.19,374.53,682.52,469.07,452.99,259.78,139.13,478.57,561.23,140.61,501.49,461.27,389.03,554.71,336.15,292.68,561.17,181.88,1.13,583.11,13.84,444.82,354.93,,417.74,404.8,501.16,757.96,645.91,717.36,603.19,512.4,400.62,481.38,326.64,330.31,1000,,603.02,518.58,,274.47,515.94
4/2/2016,1000,448.19,497.86,540.53,502.05,446.43,370.46,322.88,365,308.68,446.45,47.72,489.56,502.97,615.41,358.92,256.65,466.69,305.93,205.21,2.56,711.9,22.25,448.64,424.77,,533.69,732.73,382.35,861.03,327.44,464.14,552.57,526.33,1000,583.96,435.18,688.95,227.74,,138.33,495.21,,143.15,556.67
4/9/2016,1000,1000,602.86,832.93,547.06,346.7,554.3,633.5,598.32,511.39,534.77,151.94,477.63,515.05,429.15,814.21,199.28,422.96,311.67,254.9,1000,408.52,77.37,412.22,491.59,,511.85,383.84,540.84,595.15,400.84,521.58,703.94,551.21,596.19,465.09,552.17,445.79,168.19,,447.21,504.15,,927.1,543.11
4/16/2016,104.46,405.72,495.78,446.02,397.71,373.67,310.85,736.67,618.59,397.8,511.72,229.09,445.28,531.76,1000,601.62,228.89,410.22,369.83,285.38,5.17,482.98,254.96,471.35,378.84,,446.74,454.85,422.92,547.46,395.26,705.9,520.76,542.66,478.26,482.98,302.02,466.69,744.57,,422.59,497.04,,132.01,366.86
4/23/2016,155.11,359.97,629.28,389.93,416.43,566.49,1000,898.64,974.97,350.37,676.8,144.83,442.92,542.17,401.7,642.09,764.51,462.19,1000,543.8,486.8,711.17,158.11,391.6,589.18,,632.33,579.88,375.61,399.4,626.52,419.38,809.91,551.2,441.94,489.88,1000,516.63,119.71,,652.84,477.91,,509.71,322.23
4/30/2016,377.53,624.39,495.69,979.72,420.79,794.84,708.81,520.11,484.3,432.06,263.92,1000,417.73,571.83,671,442.66,414.64,1000,1000,744.92,28.53,597.67,1000,557.3,589.25,,716.38,520.1,569.45,1000,784.2,627.64,671.67,595.57,1000,703.69,1000,888.99,316.3,,707.06,483.56,,1000,396.22
5/7/2016,212.79,343.57,436.32,451.75,472.73,341.25,487.11,913.59,761.23,360.52,439.6,1000,439.38,484.29,219.64,613.19,1000,784.78,337.08,1000,96.78,791.62,1000,719.36,779.46,,589.59,473.24,676.12,316.03,725.65,312.74,615.69,498.93,1000,542.18,303.84,580.25,194.84,,556.77,471.5,,24.36,406.1
5/14/2016,257.79,669.96,447.49,708.08,509.77,418.44,385.45,422.64,808.9,437,541.76,1000,491.43,525.85,364.99,627.57,743.34,676.46,158.43,1000,160,679.93,966.35,460.92,555.79,,456.23,360.57,909.42,418.95,641.16,682.2,790.52,524.03,1000,478.16,394.85,509.05,707.63,,557.01,527.45,,566.83,339.36
5/21/2016,214.37,479.78,482.14,495.11,545.56,465.42,427.48,559.77,552.85,333.95,309.2,477.25,446.1,547.36,326.6,757.81,1000,500.83,20.96,72.68,15.48,640.68,1000,679.65,702.42,,413.6,390.05,605.5,533.47,634.53,769.71,466.93,588.93,370.47,527.86,212.35,456.95,173,,506.7,506.69,,396.37,370.57
5/28/2016,770.34,399.14,468.54,600.27,514.42,471.91,515.88,774.31,953.12,553.46,341.95,1000,449.9,617.06,1000,328.15,646.47,602.34,115.57,39.04,1000,511.37,830.11,504.58,680.59,,404.39,664.76,886.55,826.69,517.62,383.58,338.09,606.11,1000,562.78,340.94,1000,172.08,,378.62,506.97,,389.42,407.06
6/4/2016,1000,568.59,564.35,397.33,553.57,270.7,412.12,574.62,654.31,545.42,1000,1000,661.63,585.13,442.2,664.08,304.22,608.37,487.7,4.43,275.55,672.66,1000,642.8,649.79,,539.9,714.29,934.65,286.14,765.36,464.3,430.77,612.29,345.5,549.26,411.85,564.3,719.64,,395.09,505.34,,1000,485.57
6/11/2016,1000,526.7,545.02,449.54,671.16,673.98,545.21,1000,580.47,624.75,442.83,1000,501.06,481.99,295.16,447.24,501.99,357.75,232.69,87.03,1000,753.07,1000,443.32,440.28,,552.39,635.41,427.58,265.25,1000,516.32,443.59,541.19,814.3,467.86,1000,582.97,649.59,,320.41,538.52,,477.93,403.63
6/18/2016,910.58,552.65,576.29,1000,578.66,431.81,1000,479.92,974.39,779.49,381.1,188.53,556.38,594.18,1000,499.12,377.35,871.41,1000,175.17,1000,534.57,889.6,554.6,735.13,,724.34,952.8,294.32,424.39,981.16,271.59,499.52,612.73,975.06,595.57,830.52,591.73,756.05,,662.8,511.23,,1000,717.66
6/25/2016,115.41,246.04,605.87,399.38,528.73,937.29,558.11,1000,593.82,591.04,578.46,763.45,500.73,515.35,1000,257.75,404.67,597.92,25.14,357.42,495.47,502.1,280.22,519.77,701.54,,1000,837.26,786.63,420.92,466.61,340.89,407.4,554.2,281.58,529.54,1000,379.21,307.74,1000,439.32,461.5,,140.19,444.58
7/2/2016,219.01,340.93,464.61,360.69,446.52,599.69,354.22,193.94,608.78,395.85,577.58,929.35,444.49,499.15,225.22,164.66,420.36,484.29,882.85,596.28,10.58,453.53,550.77,598.28,565.37,,308.77,492.18,343.33,306.56,290.22,528.07,436.57,500.73,426.15,482.79,701.13,332.24,540.17,1000,836.16,487.97,,82.9,329.8
7/9/2016,92.11,467.82,489.46,370.34,382.77,360.33,612.44,265.08,310.15,147.86,717.73,84.73,463.27,463.98,1000,253.19,994.25,432.22,710.01,5.02,16.33,446.85,231.86,621.23,266.09,,446.91,421.78,542.11,216.75,297.85,364.77,421.35,483.97,109.22,424.01,489.69,281.52,521.82,1000,637.53,446.62,,173.56,471.21
7/16/2016,113.55,603.1,477.09,415.28,406.71,572.12,787.18,381.77,267.58,447.25,880.87,84.37,411.9,437.92,147.79,350.97,472.66,360.42,1000,499.72,51.85,609.83,476.35,589.07,459.41,,351.74,310.8,392.39,300.02,433.38,445.79,477.32,511.17,335.34,464.07,718.81,452.27,546.24,616.19,779.71,519.55,,588.45,484.96
7/23/2016,224.97,426.19,497.88,307.06,467.25,523.56,267.28,329.68,220.65,348.11,395.09,418.89,420.78,417.79,232.28,439.25,623.09,366.06,355,1.4,206.26,674.96,255.7,491.55,797.23,,411.31,346.63,988.27,635.62,299.14,362.72,477.45,527.87,334.31,440.85,234.78,496.62,449.03,621.69,484.05,489.7,,749.68,370.84
7/30/2016,271.57,577.02,493.48,291.53,424.82,573.97,249.79,518.09,446.49,499.44,159.69,623.87,436.81,492.32,317.51,461.77,228.44,461.27,642.4,24.45,771.04,343.93,923.63,386.37,542,,492.19,326.82,183.71,393.09,544.64,877.28,376.31,540.81,257.58,562.08,83.85,1000,392.67,80.33,515.57,482.09,,225.74,336.45
8/6/2016,1000,363.19,559.72,629.44,554.79,449.28,602.58,402.76,561.27,407.75,915.4,360.75,717.89,527.01,491.49,453.72,333.25,452.19,113.84,63.11,1000,380.47,547.43,365.05,614,,387.1,623.63,550.9,683.89,693.93,811.74,457.55,550.64,676.32,441.29,615.65,434.76,509.7,369.8,717.3,477.45,,216.55,422.79
8/13/2016,246.6,343.28,504.68,541.32,750.39,231.63,343.17,363.75,417.74,595.18,262.2,253.7,675.52,544.73,623.32,462.43,329.92,508.94,552.13,200.07,1000,296.26,253.19,475.91,338.58,,583,720.55,712.39,609.86,493.56,530.35,586.59,549.78,219.92,439.03,473.11,424.69,385.08,330.96,479.63,559.78,,1000,299
8/20/2016,302.07,283.37,527.04,604.21,519.31,348.07,459.93,524.07,769.37,863.19,291.77,134.67,446.58,495.62,241.82,562.25,238.99,459.28,173.2,1000,695.36,343.76,747.57,426.26,409.71,,493.3,587.31,576.09,292.63,661.24,503.3,437.65,570.61,496.74,456.8,355.73,440.23,685.16,103.04,541.26,561.16,,584.7,549
8/27/2016,330.69,546.08,568.81,497.85,593.02,695.31,408.12,395.8,1000,483.55,673.35,442.64,553.06,551.05,692.28,312.66,359.86,555.98,497.28,229.96,89.85,310.11,529.93,457.2,470.31,,482.45,1000,726.76,213.72,352.69,534.61,661.72,569.06,733.17,623.46,523.96,543.18,976.94,248.63,802.75,474.39,,434.14,427.66
